,Type,Year Built,Heating,Cooling,Parking,Lot,Price/sqft,Buyers Agency Fee,zpid
1376,Single family residence,Built in 1968,"1 Unit, forced air, zoned, natural gas","2 Units, central air, zoned",2 Attached garage spaces,0.77 Acres,,,39453818
1377,Single family residence,Built in 1951,"Forced air, natural gas","None, electric",Open parking,"5,998 sqft",$178 price/sqft,,38266974
1378,Single family residence,Built in 1935,"Baseboard - hotwater, zoned, radiators - hot water, natural gas","1 Unit, central air",1 Attached garage space,0.32 Acres,,,38632618
1379,Duplex,Built in 1920,"Forced air, natural gas","Central a/c, electric",2 Garage spaces,,$165 price/sqft,,2128545859
1380,Single family residence,Built in 2008,"Forced air, solar","Central a/c, electric, solar photovoltaic",2 Attached garage spaces,0.60 Acres,$135 price/sqft,,87967523
1381,Single family residence,Built in 1946,"Baseboard, see remarks",None,Open parking,"5,001 sqft",$240 price/sqft,,39207294
1382,Single family residence,Built in 1979,Forced air,Central air,2 Attached garage spaces,"9,147 sqft",,,39237728
1383,Single family residence,Built in 1999,Natural gas,"2 Units, central air, zoned",3 Attached garage spaces,0.92 Acres,,,39917766
1384,Multi family,Built in 1920,"Radiators - hot water, electric",Window unit(s),None,,$255 price/sqft,,37880070
1385,Single family residence,Built in 1956,"Forced air, natural gas","Central a/c, natural gas",Open parking,"9,378 sqft",$218 price/sqft,,38281674
1386,Single family residence,Built in 1963,Forced air,Central air,None,"6,969 sqft",$301 price/sqft,,39251499
1387,Adult community,Built in 1979,Baseboard,Central air,1 Attached garage space,"5,662 sqft",$308 price/sqft,,39525498
1388,Single family residence,,"Baseboard, natural gas, hot water","Gas, central air, zoned",Garage,No data,,,38019107
1389,Single family residence,Built in 1955,"90% forced air, natural gas",Central a/c,Open parking,0.30 Acres,$189 price/sqft,,38164396
